Target,MAE,RMSE,R²
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,29.910626916398616,78.23673195138475,0.40127413682308033
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,29.910626916398616,78.23673195138475,0.40127413682308033
System Direction (kWh)_t+15min,11219.900548420768,17704.381666913865,0.6043409372863323
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,42.0586689715343,102.35854933048057,-0.02481330843753926
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,42.0586689715343,102.35854933048057,-0.02481330843753904
System Direction (kWh)_t+30min,14632.080624374606,22264.57017907422,0.3742761515568638
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.30051457570668,110.03556740963113,-0.18427505614100093
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.30051457570668,110.03556740963113,-0.18427505614100093
System Direction (kWh)_t+45min,15982.73535637365,24547.765088875232,0.23938330555334242
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.03634497637212,112.18998566163991,-0.23107494866692635
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.03634497637213,112.18998566163991,-0.2310749486669259
System Direction (kWh)_t+60min,16782.735806681565,26077.27696674781,0.14165814723853698
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,53.60731375807784,119.38853478761995,-0.394092054430331
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,53.60731375807784,119.38853478761995,-0.394092054430331
System Direction (kWh)_t+75min,18863.080735635554,29210.70470311974,-0.07699671806150454
